pub_type,authors,year,title,lowercase,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,source,publisher,doi,s
Article,"Spoelstra, K; van Grunsven, RHA; Ramakers, JJC; Ferguson, KB; Raap, T; Donners, M; Veenendaal, EM; Visser, ME",2017,"Response of bats to light with different spectra: light-shy and agile bat presence is affected by white and green, but not red light","response of bats to light with different spectra light shy and agile bat presence is affected by white and green, but not red light",yes,no,NA,NA,NA,NA,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,ROYAL SOC,NA,auto
Article,"Nabi, G; Wang, Y; Lü, L; Jiang, C; Ahmad, S; Wu, YF; Li, DM",2021,Bats and birds as viral reservoirs: A physiological and ecological perspective,bats and birds as viral reservoirs a physiological and ecological perspective,yes,no,NA,NA,NA,NA,SCIENCE OF THE TOTAL ENVIRONMENT,ELSEVIER,NA,auto
Review,"Bogoni, JA; Carvalho-Rocha, V; da Silva, PG",2022,"Spatial and land-use determinants of bat species richness, functional diversity, and site uniqueness throughout the largest Tropical country, BrazilPalavras-chave","spatial and land use determinants of bat species richness, functional diversity, and site uniqueness throughout the largest tropical country, brazilpalavras chave",yes,no,NA,NA,NA,NA,MAMMAL REVIEW,WILEY,NA,auto
Article,"John, JMM; Van Lishout, F; Van Steen, K",2011,Model-Based Multifactor Dimensionality Reduction to detect epistasis for quantitative traits in the presence of error-free and noisy data,model based multifactor dimensionality reduction to detect epistasis for quantitative traits in the presence of error free and noisy data,no,yes,NA,NA,NA,NA,EUROPEAN JOURNAL OF HUMAN GENETICS,NATURE PUBLISHING GROUP,NA,auto
Review,"Wong, ACP; Li, X; Lau, SKP; Woo, PCY",2019,Global Epidemiology of Bat Coronaviruses,global epidemiology of bat coronaviruses,yes,no,NA,NA,NA,NA,VIRUSES-BASEL,MDPI,NA,auto
Review,"Al-Dyani, WZ; Ahmad, FK; Kamaruddin, SS",2022,Improvements of bat algorithm for optimal feature selection: A systematic literature review,improvements of bat algorithm for optimal feature selection a systematic literature review,yes,no,NA,NA,NA,NA,INTELLIGENT DATA ANALYSIS,IOS PRESS,NA,auto
Article,"Dai, WT; Li, AQ; Chang, Y; Liu, T; Zhang, L; Li, J; Leng, HX; Li, ZL; Jin, LR; Sun, KP; Feng, J",2023,"Diet composition, niche overlap and partitioning of five sympatric rhinolophid bats in Southwestern China during summer","diet composition, niche overlap and partitioning of five sympatric rhinolophid bats in southwestern china during summer",yes,no,NA,NA,NA,NA,FRONTIERS IN ECOLOGY AND EVOLUTION,FRONTIERS MEDIA SA,NA,auto
Article,"Wood, MR; de Vries, JL; Monadjem, A; Markotter, W",2024,Review and meta-analysis of correlates of home range size in bats,review and meta analysis of correlates of home range size in bats,yes,no,NA,NA,NA,NA,JOURNAL OF MAMMALOGY,OXFORD UNIV PRESS INC,NA,auto
Article,"Clark, BK; Clark, BS; Leslie, DM; Gregory, MS",1996,Characteristics of caves used by the endangered Ozark big-eared bat,characteristics of caves used by the endangered ozark big eared bat,yes,no,NA,NA,NA,NA,WILDLIFE SOCIETY BULLETIN,WILEY,NA,auto
Article,"Kelly, RM; Friedman, R; Santana, SE",2018,Primary productivity explains size variation across the Pallid bat's western geographic range,primary productivity explains size variation across the pallid bat s western geographic range,yes,no,NA,NA,NA,NA,FUNCTIONAL ECOLOGY,WILEY,NA,auto
