pub_type,authors,year,title,lowercase,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,source,publisher,doi,s
journalArticle,"Crane, Matt; Silva, Inês; Grainger, Matthew J.; Gale, George A.",2022,Limitations and gaps in global bat wing morphology trait data,limitations and gaps in global bat wing morphology trait data,yes,yes,NA,NA,NA,NA,Mammal Review,Wiley Online Library,10.1111/mam.12270,auto
journalArticle,"Laforge, Alexis; Archaux, Frédéric; Coulon, Aurélie; Sirami, Clélia; Froidevaux, Jérémy; Gouix, Nicolas; Ladet, Sylvie; Martin, Hilaire; Barré, Kevin; Roemer, Charlotte; Claireau, Fabien; Kerbiriou, Christian; Barbaro, Luc",2021,Landscape composition and life-history traits influence bat movement and space use: Analysis of 30 years of published telemetry data,landscape composition and life history traits influence bat movement and space use analysis of 30 years of published telemetry data,yes,yes,NA,NA,NA,NA,Global Ecology and Biogeography,Wiley Online Library,10.1111/geb.13397,auto
book,"Kunz, Thomas H.; Fenton, M. Brock",2005,Bat Ecology,bat ecology,yes,no,NA,NA,NA,NA,NA,Google Books,NA,auto
journalArticle,"Jung, Kirsten; Threlfall, Caragh Grace",2018,Trait-dependent tolerance of bats to urbanization: a global meta-analysis,trait dependent tolerance of bats to urbanization a global meta analysis,yes,yes,NA,NA,NA,NA,Proceedings of the Royal Society B: Biological Sciences,royalsocietypublishing.org (Atypon),10.1098/rspb.2018.1222,auto
journalArticle,"Cosentino, Francesca; Castiello, Giorgia; Maiorano, Luigi",2023,A dataset on African bats’ functional traits,a dataset on african bats functional traits,yes,yes,NA,NA,NA,NA,Scientific Data,www.nature.com,10.1038/s41597-023-02472-w,auto
journalArticle,"Castillo-Figueroa, Dennis; Pérez-Torres, Jairo",2021,On the development of a trait-based approach for studying Neotropical bats,on the development of a trait based approach for studying neotropical bats,yes,yes,NA,NA,NA,NA,Papéis Avulsos de Zoologia,SciELO,https://doi.org/10.11606/1807-0205/2021.61.24,auto
journalArticle,"Brunet-Rossinni, Anja K.; Austad, Steven N.",2004,Ageing Studies on Bats: A Review,ageing studies on bats a review,yes,no,NA,NA,NA,NA,Biogerontology,Springer Link,10.1023/B:BGEN.0000038022.65024.d8,auto
journalArticle,"Froidevaux, Jérémy S. P.; Toshkova, Nia; Barbaro, Luc; Benítez-López, Ana; Kerbiriou, Christian; Le Viol, Isabelle; Pacifici, Michela; Santini, Luca; Stawski, Clare; Russo, Danilo; Dekker, Jasja; Alberdi, Antton; Amorim, Francisco; Ancillotto, Leonardo; Barré, Kévin; Bas, Yves; Cantú-Salazar, Lisette; Dechmann, Dina K. N.; Devaux, Tiphaine; Eldegard, Katrine; Fereidouni, Sasan; Furmankiewicz, Joanna; Hamidovic, Daniela; Hill, Davina L.; Ibáñez, Carlos; Julien, Jean-François; Juste, Javier; Kaňuch, Peter; Korine, Carmi; Laforge, Alexis; Legras, Gaëlle; Leroux, Camille; Lesiński, Grzegorz; Mariton, Léa; Marmet, Julie; Mata, Vanessa A.; Mifsud, Clare M.; Nistreanu, Victoria; Novella-Fernandez, Roberto; Rebelo, Hugo; Roche, Niamh; Roemer, Charlotte; Ruczyński, Ireneusz; Sørås, Rune; Uhrin, Marcel; Vella, Adriana; Voigt, Christian C.; Razgour, Orly",2023,A species-level trait dataset of bats in Europe and beyond,a species level trait dataset of bats in europe and beyond,yes,yes,NA,NA,NA,NA,Scientific Data,www.nature.com,10.1038/s41597-023-02157-4,auto
journalArticle,"FREEMAN, PATRICIA W.",1984,Functional cranial analysis of large animalivorous bats (Microchiroptera),functional cranial analysis of large animalivorous bats (microchiroptera),yes,no,NA,NA,NA,NA,Biological Journal of the Linnean Society,Silverchair,10.1111/j.1095-8312.1984.tb01601.x,auto
journalArticle,"Norberg, Ulla M.; Rayner, J. M. V.; Lighthill, Michael James",1997,"Ecological morphology and flight in bats (Mammalia; Chiroptera): wing adaptations, flight performance, foraging strategy and echolocation","ecological morphology and flight in bats (mammalia chiroptera) wing adaptations, flight performance, foraging strategy and echolocation",yes,no,NA,NA,NA,NA,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",royalsocietypublishing.org (Atypon),10.1098/rstb.1987.0030,auto
journalArticle,"Vaughan, Terry A.",1966,Morphology and Flight Characteristics of Molossid Bats,morphology and flight characteristics of molossid bats,yes,no,NA,NA,NA,NA,Journal of Mammalogy,Silverchair,10.2307/1378121,auto
journalArticle,"Peixoto, Franciele Parreira; Braga, Pedro Henrique Pereira; Mendes, Poliana",2018,A synthesis of ecological and evolutionary determinants of bat diversity across spatial scales,a synthesis of ecological and evolutionary determinants of bat diversity across spatial scales,yes,no,NA,NA,NA,NA,BMC Ecology,Springer Link,10.1186/s12898-018-0174-z,auto
journalArticle,"Colombo, Guthieri Teixeira; Di Ponzio, Raffaello; Benchimol, Maíra; Peres, Carlos A.; Bobrowiec, Paulo Estefano D.",2023,Functional diversity and trait filtering of insectivorous bats on forest islands created by an Amazonian mega dam,functional diversity and trait filtering of insectivorous bats on forest islands created by an amazonian mega dam,yes,yes,NA,NA,NA,NA,Functional Ecology,Wiley Online Library,10.1111/1365-2435.14118,auto
journalArticle,"Moir, Monika; Richards, Leigh R.; Rambau, Ramugondo V.; Cherry, Michael I.",2021,Functional diversity and trait filtering of insectivorous bats relate to forest biogeography and fragmentation in South Africa,functional diversity and trait filtering of insectivorous bats relate to forest biogeography and fragmentation in south africa,yes,yes,NA,NA,NA,NA,Journal of Biogeography,Wiley Online Library,10.1111/jbi.14069,auto
journalArticle,"Duchamp, Joseph E.; Swihart, Robert K.",2008,Shifts in bat community structure related to evolved traits and features of human-altered landscapes,shifts in bat community structure related to evolved traits and features of human altered landscapes,yes,yes,NA,NA,NA,NA,Landscape Ecology,Springer Link,10.1007/s10980-008-9241-8,auto
book,"Zubaid, Akbar; McCracken, Gary F.; Kunz, Thomas",2006,Functional and Evolutionary Ecology of Bats,functional and evolutionary ecology of bats,yes,no,NA,NA,NA,NA,NA,Google Books,NA,auto
journalArticle,"Arrizabalaga-Escudero, Aitor; Merckx, Thomas; García-Baquero, Gonzalo; Wahlberg, Niklas; Aizpurua, Ostaizka; Garin, Inazio; Goiti, Urtzi; Aihartza, Joxerra",2019,Trait-based functional dietary analysis provides a better insight into the foraging ecology of bats,trait based functional dietary analysis provides a better insight into the foraging ecology of bats,yes,yes,NA,NA,NA,NA,Journal of Animal Ecology,Wiley Online Library,10.1111/1365-2656.13055,auto
journalArticle,"Speakman, John R.",2001,The evolution of flight and echolocation in bats: another leap in the dark,the evolution of flight and echolocation in bats another leap in the dark,yes,no,NA,NA,NA,NA,Mammal Review,Wiley Online Library,10.1046/j.1365-2907.2001.00082.x,auto
journalArticle,"Giacomini, Giada; Herrel, Anthony; Chaverri, Gloriana; Brown, Richard P.; Russo, Danilo; Scaravelli, Dino; Meloro, Carlo",2022,Functional correlates of skull shape in Chiroptera: feeding and echolocation adaptations,functional correlates of skull shape in chiroptera feeding and echolocation adaptations,no,no,NA,NA,NA,NA,Integrative Zoology,Wiley Online Library,10.1111/1749-4877.12564,auto
journalArticle,"Conenna, Irene; Santini, Luca; Rocha, Ricardo; Monadjem, Ara; Cabeza, Mar; Russo, Danilo",2021,Global patterns of functional trait variation along aridity gradients in bats,global patterns of functional trait variation along aridity gradients in bats,yes,yes,NA,NA,NA,NA,Global Ecology and Biogeography,Wiley Online Library,10.1111/geb.13278,auto
journalArticle,"Santana, Sharlene E; Sadier, Alexa; Mello, Marco A R",2024,The ecomorphological radiation of phyllostomid bats,the ecomorphological radiation of phyllostomid bats,yes,no,NA,NA,NA,NA,Evolutionary Journal of the Linnean Society,Silverchair,10.1093/evolinnean/kzae032,auto
journalArticle,"Sadier, Alexa; Urban, Daniel J.; Anthwal, Neal; Howenstine, Aidan O.; Sinha, Ishani; Sears, Karen E.",2021,Making a bat: The developmental basis of bat evolution,making a bat the developmental basis of bat evolution,yes,no,NA,NA,NA,NA,Genetics and Molecular Biology,SciELO,https://doi.org/10.1590/1678-4685-GMB-2019-0146,auto
journalArticle,"Gaudioso, Pablo J.; Pérez, M. Julieta; Gamboa Alurralde, Santiago; Toledo, Néstor; Díaz, M. Mónica",2023,"Exploration of the morphology and functional implications of the forelimb in bats (Mammalia, Chiroptera) from the Neotropical region","exploration of the morphology and functional implications of the forelimb in bats (mammalia, chiroptera) from the neotropical region",yes,no,NA,NA,NA,NA,Zoomorphology,Springer Link,10.1007/s00435-022-00588-y,auto
journalArticle,"Castillo-Figueroa, Dennis",2020,Ecological Morphology of Neotropical Bat Wing Structures,ecological morphology of neotropical bat wing structures,yes,no,NA,NA,NA,NA,Zoological Studies,PubMed Central,10.6620/ZS.2020.59-60,auto
journalArticle,"Kinap, Natalia Margarido; Farneda, Fábio Z.; Rabelo, Rafael M.; Bernard, Enrico; Bobrowiec, Paulo Estefano D.",2024,Functional diversity and trait-environment relationships of bat assemblages in an Amazonian forest-savannah mosaic,functional diversity and trait environment relationships of bat assemblages in an amazonian forest savannah mosaic,yes,yes,NA,NA,NA,NA,Biodiversity and Conservation,Springer Link,10.1007/s10531-024-02880-3,auto
journalArticle,"Chornelia, Ada; Hughes, Alice C.",2023,Phenotypic traits evolution and morphological traits associated with echolocation calls in cryptic horseshoe bats (Rhinolophidae),phenotypic traits evolution and morphological traits associated with echolocation calls in cryptic horseshoe bats (rhinolophidae),yes,yes,NA,NA,NA,NA,Journal of Systematics and Evolution,onlinelibrary.wiley.com,10.1111/jse.12924,auto
journalArticle,"Czaplewski, Nicholas; Baker, Charles",2022,Carnassiform notches improve the functional efficiency of bat (Mammalia: Chiroptera) molar shearing crests,carnassiform notches improve the functional efficiency of bat (mammalia chiroptera) molar shearing crests,yes,no,NA,NA,NA,NA,Acta Palaeontologica Polonica,DOI.org (Crossref),10.4202/app.00889.2021,auto
journalArticle,"Fenton, M. Brock",2010,Convergences in the diversification of bats,convergences in the diversification of bats,yes,no,NA,NA,NA,NA,Current Zoology,Silverchair,10.1093/czoolo/56.4.454,auto
journalArticle,"Swartz, Sharon; Freeman, Patricia; Stockwell, Elizabeth",2003,Ecomorphology of Bats: Comparative and Experimental Approaches Relating Structural Design to Ecology,ecomorphology of bats comparative and experimental approaches relating structural design to ecology,yes,no,NA,NA,NA,NA,School of Natural Resources: Faculty Publications,COinS,NA,auto
journalArticle,"Santana, Sharlene E.; Cheung, Elena",2016,Go big or go fish: morphological specializations in carnivorous bats,go big or go fish morphological specializations in carnivorous bats,yes,no,NA,NA,NA,NA,Proceedings of the Royal Society B: Biological Sciences,royalsocietypublishing.org (Atypon),10.1098/rspb.2016.0615,auto
journalArticle,"Hanspach, Jan; Fischer, Joern; Ikin, Karen; Stott, Jenny; Law, Bradley S.",2012,Using trait-based filtering as a predictive framework for conservation: a case study of bats on farms in southeastern Australia,using trait based filtering as a predictive framework for conservation a case study of bats on farms in southeastern australia,yes,yes,NA,NA,NA,NA,Journal of Applied Ecology,Wiley Online Library,10.1111/j.1365-2664.2012.02159.x,auto
bookSection,NA,2000,Life-history and Reproductive Strategies of Bats,life history and reproductive strategies of bats,yes,no,NA,NA,NA,NA,Reproductive Biology of Bats,www.sciencedirect.com,NA,auto
journalArticle,"Villalobos-Chaves, David; Santana, Sharlene E.",2022,Craniodental traits predict feeding performance and dietary hardness in a community of Neotropical free-tailed bats (Chiroptera: Molossidae),craniodental traits predict feeding performance and dietary hardness in a community of neotropical free tailed bats (chiroptera molossidae),yes,yes,NA,NA,NA,NA,Functional Ecology,Wiley Online Library,10.1111/1365-2435.14063,auto
journalArticle,"Arbour, J. H.; Curtis, A. A.; Santana, S. E.",2021,Sensory adaptations reshaped intrinsic factors underlying morphological diversification in bats,sensory adaptations reshaped intrinsic factors underlying morphological diversification in bats,yes,no,NA,NA,NA,NA,BMC Biology,Springer Link,10.1186/s12915-021-01022-3,auto
journalArticle,"Jones, Kate E.; MacLarnon, Ann",2001,Bat life histories: Testing models of mammalian life-history evolution,bat life histories testing models of mammalian life history evolution,yes,no,NA,NA,NA,NA,Evolutionary Ecology Research,www.evolutionary-ecology.com,NA,auto
journalArticle,"Haarsma, Anne-Jifke; Siepel, Henk",2013,Macro-evolutionary trade-offs as the basis for the distribution of European bats,macro evolutionary trade offs as the basis for the distribution of european bats,yes,no,NA,NA,NA,NA,Animal Biology,brill.com,10.1163/15707563-00002424,auto
bookSection,"Safi, Kamran; Meiri, Shai; Jones, Kate E.",2013,Chapter Four. Evolution of Body Size in Bats,chapter four. evolution of body size in bats,yes,no,NA,NA,NA,NA,"Animal Body Size: Linking Pattern and Process across Space, Time, and Taxonomic Group",www.degruyter.com,NA,auto
journalArticle,"Martínez-Ferreira, Sergio Ramón; Alvarez-Añorve, Mariana Yolotl; Bravo-Monzón, Angel E.; Montiel-González, Cristina; Flores-Puerto, Jose Israel; Morales-Díaz, Sharon Patricia; Chiappa-Carrara, Xavier; Oyama, Ken; Avila-Cabadilla, Luis Daniel",2020,Taxonomic and Functional Diversity and Composition of Bats in a Regenerating Neotropical Dry Forest,taxonomic and functional diversity and composition of bats in a regenerating neotropical dry forest,yes,no,NA,NA,NA,NA,Diversity,www.mdpi.com,10.3390/d12090332,auto
journalArticle,"Odendaal, Lizelle J.; Jacobs, David S.; Bishop, Jacqueline M.",2014,Sensory trait variation in an echolocating bat suggests roles for both selection and plasticity,sensory trait variation in an echolocating bat suggests roles for both selection and plasticity,yes,yes,NA,NA,NA,NA,BMC Evolutionary Biology,Springer Link,10.1186/1471-2148-14-60,auto
journalArticle,"Bishop, Kristin L.",2008,The Evolution of Flight in Bats: Narrowing the Field of Plausible Hypotheses,the evolution of flight in bats narrowing the field of plausible hypotheses,yes,no,NA,NA,NA,NA,The Quarterly Review of Biology,journals.uchicago.edu (Atypon),10.1086/587825,auto
journalArticle,"Dumont, Elizabeth R.",2007,Feeding mechanisms in bats: variation within the constraints of flight,feeding mechanisms in bats variation within the constraints of flight,yes,no,NA,NA,NA,NA,Integrative and Comparative Biology,Silverchair,10.1093/icb/icm007,auto
journalArticle,"Brualla, Nicolas L. M.; Wilson, Laura A. B.; Doube, Michael; Carter, Richard T.; McElligott, Alan G.; Koyabu, Daisuke",2023,The vocal apparatus: An understudied tool to reconstruct the evolutionary history of echolocation in bats?,the vocal apparatus an understudied tool to reconstruct the evolutionary history of echolocation in bats?,yes,no,NA,NA,NA,NA,Journal of Mammalian Evolution,Springer Link,10.1007/s10914-022-09647-z,auto
book,"Gunnell, Gregg F.; Simmons, Nancy B.",2012,"Evolutionary History of Bats: Fossils, Molecules and Morphology","evolutionary history of bats fossils, molecules and morphology",yes,no,NA,NA,NA,NA,NA,Google Books,NA,auto
journalArticle,"Monteiro, Leandro R.; Nogueira, Marcelo R.",2011,Evolutionary patterns and processes in the radiation of phyllostomid bats,evolutionary patterns and processes in the radiation of phyllostomid bats,yes,no,NA,NA,NA,NA,BMC Evolutionary Biology,Springer Link,10.1186/1471-2148-11-137,auto
journalArticle,"Muñoz-Romo, Mariana; Page, Rachel A.; Kunz, Thomas H.",2021,Redefining the study of sexual dimorphism in bats: following the odour trail,redefining the study of sexual dimorphism in bats following the odour trail,yes,no,NA,NA,NA,NA,Mammal Review,Wiley Online Library,10.1111/mam.12232,auto
journalArticle,"Davies, Kalina T. J.; Bates, Paul J. J.; Maryanto, Ibnu; Cotton, James A.; Rossiter, Stephen J.",2013,The Evolution of Bat Vestibular Systems in the Face of Potential Antagonistic Selection Pressures for Flight and Echolocation,the evolution of bat vestibular systems in the face of potential antagonistic selection pressures for flight and echolocation,yes,no,NA,NA,NA,NA,PLOS ONE,PLoS Journals,10.1371/journal.pone.0061998,auto
journalArticle,"Aizpurua, Ostaizka; Alberdi, Antton",2018,Ecology and evolutionary biology of fishing bats,ecology and evolutionary biology of fishing bats,yes,no,NA,NA,NA,NA,Mammal Review,Wiley Online Library,10.1111/mam.12136,auto
journalArticle,"Jones, Kate E.; Purvis, Andy; Gittleman, John L.",2003,Biological Correlates of Extinction Risk in Bats.,biological correlates of extinction risk in bats.,yes,no,NA,NA,NA,NA,The American Naturalist,journals.uchicago.edu (Atypon),10.1086/368289,auto
journalArticle,"Hoofer, Steven R.; Reeder, Serena A.; Hansen, Eric W.; Van Den Bussche, Ronald A.",2003,Molecular Phylogenetics and Taxonomic Review of Noctilionoid and Vespertilionoid Bats (Chiroptera: Yangochiroptera),molecular phylogenetics and taxonomic review of noctilionoid and vespertilionoid bats (chiroptera yangochiroptera),yes,no,NA,NA,NA,NA,Journal of Mammalogy,Silverchair,10.1644/BWG-034,auto
journalArticle,"Adams, Rick A.",1998,Evolutionary implications of developmental and functional integration in bat wings,evolutionary implications of developmental and functional integration in bat wings,yes,no,NA,NA,NA,NA,Journal of Zoology,Wiley Online Library,10.1111/j.1469-7998.1998.tb00145.x,auto
journalArticle,"Dechmann, Dina K. N.; Safi, Kamran; Vonhof, Maarten J.",2006,Matching Morphology and Diet in the Disc-Winged Bat Thyroptera tricolor (Chiroptera),matching morphology and diet in the disc winged bat thyroptera tricolor (chiroptera),yes,no,NA,NA,NA,NA,Journal of Mammalogy,Silverchair,10.1644/05-MAMM-A-424R2.1,auto
journalArticle,"de Carvalho, William Douglas; Martins, Mayara A.; Esbérard, Carlos E. L.; Palmeirim, Jorge M.",2019,Traits that allow bats of tropical lowland origin to conquer mountains: Bat assemblages along elevational gradients in the South American Atlantic Forest,traits that allow bats of tropical lowland origin to conquer mountains bat assemblages along elevational gradients in the south american atlantic forest,yes,yes,NA,NA,NA,NA,Journal of Biogeography,Wiley Online Library,10.1111/jbi.13506,auto
journalArticle,"FREEMAN, PATRICIA W.",1988,Frugivorous and animalivorous bats (Microchiroptera): dental and cranial adaptations,frugivorous and animalivorous bats (microchiroptera) dental and cranial adaptations,yes,no,NA,NA,NA,NA,Biological Journal of the Linnean Society,Silverchair,10.1111/j.1095-8312.1988.tb00811.x,auto
journalArticle,"Becker, N. I.; Encarnação, J. A.; Tschapka, M.; Kalko, E. K. V.",2013,Energetics and life-history of bats in comparison to small mammals,energetics and life history of bats in comparison to small mammals,yes,no,NA,NA,NA,NA,Ecological Research,Springer Link,10.1007/s11284-012-1010-0,auto
journalArticle,"O’Shea, Thomas J; Ellison, Laura E; Stanley, Thomas R",2004,"Survival Estimation in Bats: Historical Overview, Critical Appraisal, and Suggestions for New Approaches","survival estimation in bats historical overview, critical appraisal, and suggestions for new approaches",yes,no,NA,NA,NA,NA,NA,Zotero,NA,auto
journalArticle,"Castillo-Figueroa, Dennis",2020,Why bats matters: A critical assessment of bat-mediated ecological processes in the Neotropics,why bats matters a critical assessment of bat mediated ecological processes in the neotropics,yes,no,NA,NA,NA,NA,European Journal of Ecology,journals.ku.edu,10.17161/eurojecol.v6i1.13824,auto
journalArticle,"López-Aguirre, Camilo; Hand, Suzanne J.; Koyabu, Daisuke; Son, Nguyen Truong; Wilson, Laura A. B.",2019,"Postcranial heterochrony, modularity, integration and disparity in the prenatal ossification in bats (Chiroptera)","postcranial heterochrony, modularity, integration and disparity in the prenatal ossification in bats (chiroptera)",yes,no,NA,NA,NA,NA,BMC Evolutionary Biology,Springer Link,10.1186/s12862-019-1396-1,auto
journalArticle,"Otálora-Ardila, Aída; Farneda, Fábio Z.; Meyer, Christoph F. J.; López-Arévalo, Hugo F.; Polanía, Jaime; Gómez-Posada, Carolina",2024,Trait-mediated filtering predicts phyllostomid bat responses to habitat disturbance in the Orinoco Llanos,trait mediated filtering predicts phyllostomid bat responses to habitat disturbance in the orinoco llanos,yes,yes,NA,NA,NA,NA,Biodiversity and Conservation,Springer Link,10.1007/s10531-024-02792-2,auto
journalArticle,"Jones, K. E.; Purvis, A.",1997,An optimum body size for mammals? Comparative evidence from bats,an optimum body size for mammals? comparative evidence from bats,yes,no,NA,NA,NA,NA,Functional Ecology,Wiley Online Library,10.1046/j.1365-2435.1997.00149.x,auto
journalArticle,"Smith, Timothy D.; Santana, Sharlene E.; Eiting, Thomas P.",2023,Ecomorphology and sensory biology of bats,ecomorphology and sensory biology of bats,yes,no,NA,NA,NA,NA,The Anatomical Record,Wiley Online Library,10.1002/ar.25314,auto
journalArticle,"Cabrera-Campos, Iván; Carballo-Morales, Jorge D.; Saldaña-Vázquez, Romeo A.; Villalobos, Federico; Ayala-Berdon, Jorge",2021,Body mass explains digestive traits in small vespertilionid bats,body mass explains digestive traits in small vespertilionid bats,yes,yes,NA,NA,NA,NA,Journal of Comparative Physiology B,Springer Link,10.1007/s00360-021-01348-y,auto
journalArticle,"Leiser-Miller, Leith B.; Santana, Sharlene E.",2020,Morphological diversity in the sensory system of phyllostomid bats: Implications for acoustic and dietary ecology,morphological diversity in the sensory system of phyllostomid bats implications for acoustic and dietary ecology,yes,no,NA,NA,NA,NA,Functional Ecology,Wiley Online Library,10.1111/1365-2435.13561,auto
journalArticle,Takahiro Maki; Dai Fukui,2024,Wing Morphology of Japanese Bats: Predicting Ecological Features for Data-insufficient Species,wing morphology of japanese bats predicting ecological features for data insufficient species,yes,no,NA,NA,NA,NA,Zoological Studies,DOI.org (CSL JSON),10.6620/ZS.2024.63-36,auto
journalArticle,"Canals, Mauricio; Grossi, Bruno; Iriarte-Díaz, Jose; Veloso, Claudio",2005,Biomechanical and ecological relationships of wing morphology of eight Chilean bats,biomechanical and ecological relationships of wing morphology of eight chilean bats,yes,no,NA,NA,NA,NA,Revista chilena de historia natural,DOI.org (Crossref),10.4067/S0716-078X2005000200005,auto
journalArticle,"Betke, Briana A.; Gottdenker, Nicole L.; Meyers, Lauren Ancel; Becker, Daniel J.",2024,Ecological and evolutionary characteristics of anthropogenic roosting ability in bats of the world,ecological and evolutionary characteristics of anthropogenic roosting ability in bats of the world,yes,no,NA,NA,NA,NA,iScience,www.cell.com,10.1016/j.isci.2024.110369,auto
journalArticle,"Monadjem, Ara; Farooq, Harith; Kane, Adam",2024,"Elevation filters bat, rodent and shrew communities differently by morphological traits","elevation filters bat, rodent and shrew communities differently by morphological traits",yes,yes,NA,NA,NA,NA,Diversity and Distributions,Wiley Online Library,10.1111/ddi.13801,auto
journalArticle,"Luo, Bo; Santana, Sharlene E.; Pang, Yulan; Wang, Man; Xiao, Yanhong; Feng, Jiang",2019,Wing morphology predicts geographic range size in vespertilionid bats,wing morphology predicts geographic range size in vespertilionid bats,yes,no,NA,NA,NA,NA,Scientific Reports,www.nature.com,10.1038/s41598-019-41125-0,auto
book,"Findley, James S.",1995,Bats: A Community Perspective,bats a community perspective,yes,no,NA,NA,NA,NA,NA,Google Books,NA,auto
journalArticle,"Jones, Gareth; Teeling, Emma; Rossiter, Stephen",2013,From the ultrasonic to the infrared: molecular evolution and the sensory biology of bats,from the ultrasonic to the infrared molecular evolution and the sensory biology of bats,yes,no,NA,NA,NA,NA,Frontiers in Physiology,Frontiers,10.3389/fphys.2013.00117,auto
journalArticle,"Power, Megan L.; Foley, Nicole M.; Jones, Gareth; Teeling, Emma C.",2022,"Taking flight: An ecological, evolutionary and genomic perspective on bat telomeres","taking flight an ecological, evolutionary and genomic perspective on bat telomeres",yes,no,NA,NA,NA,NA,Molecular Ecology,Wiley Online Library,10.1111/mec.16117,auto
journalArticle,"Ayala-Berdon, Jorge; Martínez Gómez, Margarita; Ponce, Andrés Ramírez; Beamonte-Barrientos, Rene; Vázquez, Jorge; Rodriguez-Peña, Olga Nelly",2023,"Weather, ultrasonic, cranial and body traits predict insect diet hardness in a Central Mexican bat community","weather, ultrasonic, cranial and body traits predict insect diet hardness in a central mexican bat community",yes,yes,NA,NA,NA,NA,Mammal Research,Springer Link,10.1007/s13364-023-00678-2,auto
book,"Giannini, Norberto Pedro",2012,An integrative theory on the origin of bat flight,an integrative theory on the origin of bat flight,yes,no,NA,NA,NA,NA,NA,ri.conicet.gov.ar,NA,auto
journalArticle,"Varzinczak, L. H.",2020,Understanding the relationship between climatic niches and dispersal through the lens of bat wing morphology,understanding the relationship between climatic niches and dispersal through the lens of bat wing morphology,yes,no,NA,NA,NA,NA,Journal of Zoology,Wiley Online Library,10.1111/jzo.12826,auto
journalArticle,"Gutierrez, Eduardo de A; Castiglione, Gianni M; Morrow, James M; Schott, Ryan K; Loureiro, Livia O; Lim, Burton K; Chang, Belinda S W",2018,Functional Shifts in Bat Dim-Light Visual Pigment Are Associated with Differing Echolocation Abilities and Reveal Molecular Adaptation to Photic-Limited Environments,functional shifts in bat dim light visual pigment are associated with differing echolocation abilities and reveal molecular adaptation to photic limited environments,yes,no,NA,NA,NA,NA,Molecular Biology and Evolution,Silverchair,10.1093/molbev/msy140,auto
journalArticle,"Wood, Heather; Cousins, Sara A. O.",2023,Variability in bat morphology is influenced by temperature and forest cover and their interactions,variability in bat morphology is influenced by temperature and forest cover and their interactions,yes,no,NA,NA,NA,NA,Ecology and Evolution,Wiley Online Library,10.1002/ece3.9695,auto
journalArticle,"Gonçalves, Fernando; Fischer, Erich; Dirzo, Rodolfo",2017,Forest conversion to cattle ranching differentially affects taxonomic and functional groups of Neotropical bats,forest conversion to cattle ranching differentially affects taxonomic and functional groups of neotropical bats,yes,no,NA,NA,NA,NA,Biological Conservation,ScienceDirect,10.1016/j.biocon.2017.04.021,auto
journalArticle,"Pettigrew, J. D.; Jamieson, B. G. M.; Robson, S. K.; Hall, L. S.; McAnally, K. I.; Cooper, H. M.",1997,"Phylogenetic relations between Microbats, Megabats and Primates (Mammalia: Chiroptera and Primates)","phylogenetic relations between microbats, megabats and primates (mammalia chiroptera and primates)",yes,no,NA,NA,NA,NA,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",royalsocietypublishing.org (Atypon),10.1098/rstb.1989.0102,auto
journalArticle,"Núñez, Silvia Fraixedas; López-Baucells, Adrià; Rocha, Ricardo; Farneda, Fábio Z.; Bobrowiec, Paulo E. D.; Palmeirim, Jorge M.; Meyer, Christoph F. J.",2019,Echolocation and Stratum Preference: Key Trait Correlates of Vulnerability of Insectivorous Bats to Tropical Forest Fragmentation,echolocation and stratum preference key trait correlates of vulnerability of insectivorous bats to tropical forest fragmentation,yes,yes,NA,NA,NA,NA,Frontiers in Ecology and Evolution,Frontiers,10.3389/fevo.2019.00373,auto
journalArticle,"Garbino, Guilherme Siniciato Terra; Feijó, Anderson; Beltrão-Mendes, Raone; Da Rocha, Patrício Adriano",2021,Evolution of litter size in bats and its influence on longevity and roosting ecology,evolution of litter size in bats and its influence on longevity and roosting ecology,yes,no,NA,NA,NA,NA,Biological Journal of the Linnean Society,Silverchair,10.1093/biolinnean/blaa203,auto
journalArticle,"Brualla, Nicolas Louis Michel; Wilson, Laura AB; Doube, Michael; Carter, Richard T.; McElligott, Alan G.; Koyabu, Daisuke",2022,The vocal apparatus of bats: an understudied tool to reconstruct the evolutionary history of echolocation?,the vocal apparatus of bats an understudied tool to reconstruct the evolutionary history of echolocation?,yes,no,NA,NA,NA,NA,NA,ecoevorxiv.org,NA,auto
journalArticle,"Menzies, Allyson K.; Timonin, Mary E.; McGuire, Liam P.; Willis, Craig K. R.",2013,Personality Variation in Little Brown Bats,personality variation in little brown bats,yes,no,NA,NA,NA,NA,PLOS ONE,PLoS Journals,10.1371/journal.pone.0080230,auto
journalArticle,"Wetterer, Andrea L.; Rockman, Matthew V.; Simmons, Nancy B.",2000,"PHYLOGENY OF PHYLLOSTOMID BATS (MAMMALIA: CHIROPTERA): DATA FROM DIVERSE MORPHOLOGICAL SYSTEMS, SEX CHROMOSOMES, AND RESTRICTION SITES","phylogeny of phyllostomid bats (mammalia chiroptera) data from diverse morphological systems, sex chromosomes, and restriction sites",no,no,NA,NA,NA,NA,Bulletin of the American Museum of Natural History,bioone.org,10.1206/0003-0090(2000)248<0001:POPBMC>2.0.CO;2,auto
