Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Morphological,Wings,Aspect ratio,NA,Wing aspect ratio (F/M/U),AspectRatioIndex,partial_aspect_ratio,NA,NA,NA,NA,NA,NA,aspect ratio,NA,NA,NA,NA,aspect ratio,aspect ratio,Aspect ratio,wing aspect ratio,NA,Aspect ratio,NA,wing aspect ratio,aspect ratio,NA,aspect ratio,Aspect ratio,NA,NA,NA,aspect ratio (squared wing span/wing area),NA,aspect ratio,NA,NA,wing aspect ratio,aspect ratio,Aspect ratio (ratio between wing span and width)
Morphological,Wings,NA,NA,NA,NA,total_aspect_ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Wings,Tip shape index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wingtip shape index,NA,NA,NA,NA,NA
Morphological,Wings,Wing span,NA,Wingspan (F/M/U),NA,wingspan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wingspan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Wings,NA,NA,Wing length (F/M/U),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Wings,NA,NA,Wing area (F/M/U),NA,wing_surface_area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,total wing area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Wings,NA,NA,NA,NA,lifting_surface_area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Wings,NA,NA,NA,NA,wing_area_rec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Pollex,Length of the pollex without claw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morphological,Pollex,Length of the pollex with claw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
