Trait type,Complex or functional dimension,Castillo-Figueroa_2021,Soria_2021,Cosentino_2023,Froidevaux_2023,Crane_2022,Myhrvold_2015,Gonçalvez_2018,Geiselman_2020,Tanalgo_2022,Wilkinson_2002,Herberstein_2022,Gonçalvez-Souza_2023,Laurindo_2020,Barbaro_2019,Stevens_2018,Murillo-García_2018,Renner_2018,Farneda_2018,Monadjem_2018,Pereira_2018,Presley_2018,Reardon_2017,Scheiner_2017,Briones-Salas_2017,Wordley_2017,García-Morales_2016,Charbonnier_2016,Farneda_2015,Cisneros_2014,Stevens_2014,Luck_2013,Stevens_2013,Hanspach_2012,Stevens_2004,Fukui_2009,Sánchez_2017,Lucho_2017,Carrasco-Rueda_2020,Pereira_2019,Coelho_2018
Life history,Trophic niche,Bite force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Dental formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Trophic niche,,,Number of teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,Foraging hábitat,foraging_stratum,,,,,,,,,,foraging guild,,foraging guild,,,,vertical stratification,,Foraging guild ,foraging location,,,,,,foraging guild,vertical stratification,Foraging location,,foraging habitat,,,,,,,foraging location,,
Life history,Spatial niche,,,,,,,,,,,,above canopy,,,,,,,,,,,above canopy,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,,,,canopy,,,,,,,,,,,canopy,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,,,,subcanopy,,,,,,,,,,,subcanopy,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,,,,understory,,,,,,,,,,,understory,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Aerial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Clutter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Clutter_Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Open,CriticalFeedingAreasOpenHabitat,,,,,,,,open habitat,,,,,,,,,,,open habitat,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,freshwater,Aquatic,CriticalFeedingAreasWaterBodies,,,,,,,,above water,,,,,,,,,,,above water,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasWoodedRiparianHabitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasWetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasGrassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasHedgerows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasOrchard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasShrubland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CriticalFeedingAreasUrbanParKGarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,Vertical stratification,terrestrial_non-volant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,terrestrial_volant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ManoeuvrabilityTurningDiameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,PropFlightAtHeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,,,,flight heigth,,,,,,,,,,,,flight heigth,,,,,,,,,,,,,,,,
Life history,Spatial niche,Home range,home_range_km2,Home range (F/M/U),HomeRange,,,,,,,,home range size,,home range size,,,,,,,,,,,,,home range size,,,,,,,,,,,,,
Life history,Spatial niche,,,,MaxRecordedMovement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,,,,mobility,,,,,,,,,,,,,,,,mobility,,,,,,,,,,,,
Life history,Spatial niche,,dispersal_km,Dispersal distance (F/M/U),DispersalDistances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,MeanNightlyDistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,MaxNightlyDistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,density_n_km2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,fossoriality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,upper_elevation_m,,UpperElevationLimit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,lower_elevation_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,AltitudinalMigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,altitude_breadth_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,island_dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,island_endemicity,,IslandEndemic,,,,,Island.endemism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Geopolitical.endemism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,dissected_by_mountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,glaciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,biogeographical_realm,,,,,,,Biogeographic.breadth,,,biogeographical range,,,,,,,,,,,,,,,biogeographical range,,,,,,,,,,,,,
Life history,Spatial niche,,,,EstExtentOccurrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,GeographicRange,,,,,Current.range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Natural.range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,habitat_breadth_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,Habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,SpeciesHabitatSpecializationIndex,,,,,,,,habitat specilization,,habitat specilization,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DeciduousForestAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ConiferousForestAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DenseUrbanAreaAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,FreshwaterAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CroplandAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,GrasslandAffinitySmallScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DeciduousForestAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ConiferousForestAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DenseUrbanAreaAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,FreshwaterAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CroplandAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,GrasslandAffinityMediumScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DeciduousForestAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ConiferousForestAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,DenseUrbanAreaAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,FreshwaterAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,CroplandAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,GrasslandAffinityLargeScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,,,,,,Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,Type of roost,,,,,,,,,,,roost site,,,,,,,roost site,,,,,,,,nest or roost site location,,Roost type,,,,,,,,,,,Type of shelterused
Life history,Spatial niche,,,Roost type/Crevices in rocks (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Crevices in trees (CRT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Caves and sinkhole (CA),,,,,,,"Cave 
roost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Foliage (FO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Human buildings (HB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Rocky outcrops (RO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Roost type/Holes in the ground (HG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-Castle
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-Church
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-House
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-Barn
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-Bridge
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,"OvergroundRoostDependence-Tree
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Nursery roost,,,,,,,,,nursery site,,nursery site,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Nursery roost size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,FirstMainHibernationRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,FirstMainMaternityRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,SecondMainHibernationRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,SecondMainMaternityRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ThirdMainHibernationRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,,ThirdMainMaternityRoost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Colony size,,,,,,,"Colony 
size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Spatial niche,,,Mixed colony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,Echolocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,Echolocation type,CallType,,,,,,,,ecolocation strategy,,,,,,,,,,ecolocation strategy,,,echolocation call type,,,,,,,,,,,,,,,
Life history,Echolocation,,,,,,,,,,,,echolocation frequency,,,,,,,,,,,,,,,,,,,,,echolocation frequency,,,,,,,
Life history,Echolocation,,,,CallBandwidth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,Duration,,,CallDuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,Interval,,,InterpulseInterval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,Frequency,,Frequency of maximum energy (FME),CallPeakFrequency,,,,,,,,peak frequency,,,,,,,peak frequency,,,,,,frequency of maximum energy,,,,,,,,,,,,,,,
Life history,Echolocation,,,End frequency (EF),CallEndFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,CallMaxFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,CallMidFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,CallMinFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,CallSlope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,CallStartFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,rateBuzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,buzzDuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,,,,buzzPeakFrequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Echolocation,Harmonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,AllelicRichness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,CompleteMitochondrialGenome(bp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,GeneticPopulationStructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,GenomeSize_(Gb),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,Hybridization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,Karyotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,Linage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic,Genetic composition,,,,NFa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Ecological interactions,,,,,,,,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Ecological interactions,,,Pest control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Ecological interactions,,,Seed dispersal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Ecological interactions,,,Pollination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Conservation,,,Conservation status,,,,,,Conservation.status,,,conservation status,,,,,,,,,,,,,,,conservation status,,,,,,,,,,,,,
Life history,Conservation,,,,,,,,,Population.status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Overharvesting for food (OH),,,,,,Hunting.bushmeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Deforestation (DE),,,,,,Deforestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Persecution (P),,,,,,Intensional.killings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Vandalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Habitat loss (HL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Urbanisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Agricultural.conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Dead trees removal (DTR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Roost disturbance (RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Tourism.caving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Guano.extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Collisions (COL),,,,,,Road.kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,Threats/Chemical pollution (CP),,,,,,Pollution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Gating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Mining.quarrying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Sacred.activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Nest.harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Scientific.research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Invasive.species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Extreme.cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life history,Threats,,,,,,,,,Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Pathogens,,,,Endoparasites,,,,,Disease.parasites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Pathogens,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Pathogens,,,,Viruses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
