Key,Item Type,Publication Year,Author,Citation,Title,Included in ZooTraits,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
3DYGB789,journalArticle,2013,"Stevens, Richard D.; Tello, J. Sebastián; Gavilanez, María Mercedes","Stevens et al., 2013",Stronger Tests of Mechanisms Underlying Geographic Gradients of Biodiversity: Insights from the Dimensionality of Biodiversity,yes,PLoS ONE,,1932-6203,10.1371/journal.pone.0056853,http://dx.doi.org/10.1371/journal.pone.0056853,,2013-02,15/01/2025 21:53,15/01/2025 21:53,,e56853,,2,8,,,,,,,,,,,,,,,,,Publisher: Public Library of Science (PLoS),,,,,,"Fenton, Brock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVL2V5LJ,journalArticle,2012,"Hanspach, Jan; Fischer, Joern; Ikin, Karen; Stott, Jenny; Law, Bradley S.","Hanspach et al., 2012",Using trait‐based filtering as a predictive framework for conservation: a case study of bats on farms in southeastern Australia,yes,Journal of Applied Ecology,,1365-2664,10.1111/j.1365-2664.2012.02159.x,http://dx.doi.org/10.1111/j.1365-2664.2012.02159.x,,2012-06,15/01/2025 21:53,15/01/2025 21:53,,842–850,,4,49,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U76Z3UI5,journalArticle,2004,"Stevens, Richard D.; Willig, Michael R.; de Fox, Isabel Gamarra","Stevens et al., 2004","COMPARATIVE COMMUNITY ECOLOGY OF BATS FROM EASTERN PARAGUAY: TAXONOMIC, ECOLOGICAL, AND BIOGEOGRAPHIC PERSPECTIVES",yes,Journal of Mammalogy,,1545-1542,10.1644/bwg-128,http://dx.doi.org/10.1644/BWG-128,,2004-08,15/01/2025 21:53,15/01/2025 21:53,,698–707,,4,85,,,,,,,,,,,,,,,,,Publisher: Oxford University Press (OUP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59GQENJU,journalArticle,2009,"Fukui, D; Okazaki, K; Maeda, K","Fukui et al., 2009","Diet of three sympatric insectivorous bat species on Ishigaki Island, Japan",yes,Endangered Species Research,,1613-4796,10.3354/esr00156,http://dx.doi.org/10.3354/esr00156,,2009-07,15/01/2025 21:53,15/01/2025 21:53,,117–128,,,8,,,,,,,,,,,,,,,,,Publisher: Inter-Research Science Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ZZIVER7,journalArticle,2017,"Sánchez, Francisco","Sánchez et al., 2017","Murciélagos de Villavicencio (Meta, Colombia): evaluación preliminar de su diversidad trófica y servicios ecosistémicos",yes,Boletín Científico Centro de Museos Museo de Historia Natural,,0123-3068,10.17151/bccm.2017.21.1.8,http://dx.doi.org/10.17151/bccm.2017.21.1.8,,2017-01,15/01/2025 21:53,15/01/2025 21:53,,96–111,,1,21,,,,,,,,,,,,,,,,,Publisher: Universidad de Caldas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7P3JLR8N,journalArticle,2017,"Ramírez Lucho, Ismari; Coates, Rosamond; González-Christen, Alvar","Ramírez Lucho et al., 2017","The understory bat community in a fragmented landscape in the lowlands of the Los Tuxtlas, Veracruz, Mexico",yes,Therya,,2007-3364,10.12933/therya-17-463,http://dx.doi.org/10.12933/therya-17-463,,2017-05,15/01/2025 21:53,15/01/2025 21:53,,99–107,,2,8,,,,,,,,,,,,,,,,,Publisher: Asociacion Mexicana de Mastozoologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QNSCSD3X,journalArticle,2020,"Carrasco-Rueda, Farah; Loiselle, Bette A.","Carrasco-Rueda & Loiselle, 2020",Dimensions of Phyllostomid Bat Diversity and Assemblage Composition in a Tropical Forest-Agricultural Landscape,yes,Diversity,,1424-2818,10.3390/d12060238,http://dx.doi.org/10.3390/D12060238,,2020-06,15/01/2025 21:53,15/01/2025 21:53,,238,,6,12,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XI4AWYBS,journalArticle,2019,"Pereira, Alan D.; de Lima, Isaac P.; dos Reis, Nelio R.","Pereira et al., 2019","CHANGES IN BAT DIVERSITY IN AGROSYSTEMS IN THE ATLANTIC RAIN FOREST, BRAZIL",yes,Mastozoología Neotropical,,1666-0536,10.31687/saremmn.19.26.1.0.09,http://dx.doi.org/10.31687/saremMN.19.26.1.0.09,,2019-07,15/01/2025 21:53,15/01/2025 21:53,,155–166,,1,26,,,,,,,,,,,,,,,,,Publisher: Sociedad Argentina para el Estudio de los Mamiferos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH7AMAGD,journalArticle,2018,"Coelho, Eduardo De Rodrigues; Paglia, Adriano Pereira; Viana-Junior, Arleu Barbosa; Falcão, Luiz A. Dolabela; Ferreira, Guilherme B.","Coelho et al., 2018","Species Richness, Abundance and Functional Diversity of a Bat Community along an Elevational Gradient in the Espinhaço Mountain Range, Southeastern Brazil",yes,Acta Chiropterologica,,1508-1109,10.3161/15081109acc2018.20.1.009,http://dx.doi.org/10.3161/15081109ACC2018.20.1.009,,2018-06,15/01/2025 21:53,15/01/2025 21:53,,129,,1,20,,,,,,,,,,,,,,,,,Publisher: Museum and Institute of Zoology at the Polish Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRHIZCAP,document,2024,"Geiselman, Cullen; Ember, Sarah","Geiselman & Ember, 2024",Bat Eco-Interactions — batbase.org,no,batbase.org,,,,http://www.batbase.org/,,2024,15/01/2025 21:53,29/01/2025 17:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
