Key,Item Type,Publication Year,Author,Citation,Title,Included in ZooTraits,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
9Q95ZLTH,journalArticle,2022,"Herberstein, Marie E.; McLean, Donald James; Lowe, Elizabeth; Wolff, Jonas O.; Khan, Md Kawsar; Smith, Kaitlyn; Allen, Andrew P.; Bulbert, Matthew; Buzatto, Bruno A.; Eldridge, Mark D. B.; Falster, Daniel; Fernandez Winzer, Laura; Griffith, Simon C.; Madin, Joshua S.; Narendra, Ajay; Westoby, Mark; Whiting, Martin J.; Wright, Ian J.; Carthey, Alexandra J. R.","Herberstein et al., 2022","AnimalTraits - a curated animal trait database for body mass, metabolic rate and brain size",no,Scientific Data,,2052-4463,10.1038/s41597-022-01364-9,http://dx.doi.org/10.1038/s41597-022-01364-9,,2022-06,15/01/2025 21:53,15/01/2025 21:53,,,,1,9,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTSJD4F4,journalArticle,2020,"Laurindo, Rafael de Souza; Vizentin-Bugoni, Jeferson; Tavares, Davi Castro; Mancini, Matheus Camargo Silva; Mello, Rodrigo de Macêdo; Gregorin, Renato","Laurindo et al., 2020",Drivers of bat roles in Neotropical seed dispersal networks: abundance is more important than functional traits,yes,Oecologia,,1432-1939,10.1007/s00442-020-04662-4,http://dx.doi.org/10.1007/s00442-020-04662-4,,2020-05,15/01/2025 21:53,15/01/2025 21:53,,189–198,,1,193,,,,,,,,,,,,,,,,,Publisher: Springer Science and Business Media LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJLTPCPU,journalArticle,2019,"Barbaro, Luc; Allan, Eric; Ampoorter, Evy; Castagneyrol, Bastien; Charbonnier, Yohan; De Wandeler, Hans; Kerbiriou, Christian; Milligan, Harriet T.; Vialatte, Aude; Carnol, Monique; Deconchat, Marc; De Smedt, Pallieter; Jactel, Hervé; Koricheva, Julia; Le Viol, Isabelle; Muys, Bart; Scherer-Lorenzen, Michael; Verheyen, Kris; van der Plas, Fons","Barbaro et al., 2019",Biotic predictors complement models of bat and bird responses to climate and tree diversity in European forests,yes,Proceedings of the Royal Society B: Biological Sciences,,1471-2954,10.1098/rspb.2018.2193,http://dx.doi.org/10.1098/rspb.2018.2193,,2019-01,15/01/2025 21:53,15/01/2025 21:53,,20182193,,1894,286,,,,,,,,,,,,,,,,,Publisher: The Royal Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8WBL8BLA,journalArticle,2018,"Stevens, Richard D.; Tello, J. Sebastián","Stevens & Tello, 2018",A latitudinal gradient in dimensionality of biodiversity,yes,Ecography,,1600-0587,10.1111/ecog.03654,http://dx.doi.org/10.1111/ecog.03654,,2018-04,15/01/2025 21:53,15/01/2025 21:53,,2016–2026,,12,41,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEMFT7RQ,journalArticle,2018,"Murillo-García, Oscar E.; De la vega, Maria E.","Murillo-García & De la vega, 2018","Divergence, Convergence and Phenotypic Diversity of Neotropical Frugivorous Bats",yes,Diversity,,1424-2818,10.3390/d10030100,http://dx.doi.org/10.3390/d10030100,,2018-09,15/01/2025 21:53,15/01/2025 21:53,,100,,3,10,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YS79RVEZ,journalArticle,2018,"Renner, Swen C.; Suarez-Rubio, Marcela; Kaiser, Sonja; Nieschulze, Jens; Kalko, Elisabeth K.V.; Tschapka, Marco; Jung, Kirsten","Renner et al., 2018",Divergent response to forest structure of two mobile vertebrate groups,yes,Forest Ecology and Management,,0378-1127,10.1016/j.foreco.2018.02.028,http://dx.doi.org/10.1016/j.foreco.2018.02.028,,2018-05,15/01/2025 21:53,15/01/2025 21:53,,129–138,,,415–416,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAWJ9TG3,journalArticle,2018,"Farneda, Fábio Z.; Rocha, Ricardo; López-Baucells, Adrià; Sampaio, Erica M.; Palmeirim, Jorge M.; Bobrowiec, Paulo E.D.; Grelle, Carlos E.V.; Meyer, Christoph F.J.","Farneda et al., 2018",Functional recovery of Amazonian bat assemblages following secondary forest succession,yes,Biological Conservation,,0006-3207,10.1016/j.biocon.2017.12.036,http://dx.doi.org/10.1016/j.biocon.2017.12.036,,2018-02,15/01/2025 21:53,15/01/2025 21:53,,192–199,,,218,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4J7WFLHM,journalArticle,2018,"Monadjem, Ara; Conenna, Irene; Taylor, Peter; Schoeman, M. Corrie","Monadjem et al., 2018",Species richness patterns and functional traits of the bat fauna of arid southern Africa,yes,Hystrix the Italian Journal of Mammalogy,,18255272,10.4404/hystrix-00016-2017,https://doi.org/10.4404/hystrix-00016-2017,,2018-03,15/01/2025 21:53,15/01/2025 21:53,,0,,1,29,,,,,,,,,,,,,,,,,Place: IT Publisher: Associazione Teriologica Italiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2C6AIQA,journalArticle,2018,"Ramos Pereira, Maria João; Fonseca, Carlos; Aguiar, Ludmilla","Ramos Pereira et al., 2018",Loss of multiple dimensions of bat diversity under land-use intensification in the Brazilian Cerrado,yes,Hystrix the Italian Journal of Mammalogy,,18255272,10.4404/hystrix-00020-2017,https://doi.org/10.4404/hystrix-00020-2017,,2018-04,15/01/2025 21:53,15/01/2025 21:53,,0,,1,29,,,,,,,,,,,,,,,,,Place: IT Publisher: Associazione Teriologica Italiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7XTB86U,journalArticle,2017,"Presley, Steven J.; Cisneros, Laura M.; Higgins, Christopher L.; Klingbeil, Brian T.; Scheiner, Samuel M.; Willig, Michael R.","Presley et al., 2017",Phylogenetic and functional underdispersion in Neotropical phyllostomid bat communities,yes,Biotropica,,1744-7429,10.1111/btp.12501,http://dx.doi.org/10.1111/btp.12501,,2017-10,15/01/2025 21:53,15/01/2025 21:53,,135–145,,1,50,,,,,,,,,,,,,,,,,Publisher: Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
